,Rank,Team,Index,Wins,Losses,Points
305,433,FDU,2.4737707204844583,9,20,27
88,434,Bethesda (CA),2.4317636390376043,0,6,0
21,435,Ark. Baptist,2.3330344106220875,0,3,0
132,436,North Florida,2.277960701021471,6,25,18
105,437,IU Indy,2.1631889275886627,5,24,15
127,438,Toccoa Falls,2.0854347629353955,0,4,0
228,439,Bryant,2.07078796017821,8,21,24
71,440,UMES,2.061247020575256,8,22,24
388,441,Ecclesia,1.993425243205959,0,5,0
147,442,Chicago St.,1.9895213596372394,7,24,21
59,443,Coppin St.,1.903907813088644,7,23,21
117,444,Mid-Atlantic Christ.,1.8816361417549532,0,6,0
72,445,UTSA,1.8757332674202376,5,25,15
368,446,New Hampshire,1.875718264932883,7,20,21
431,447,Nobel,1.7762868291428062,0,6,0
335,448,Maine,1.6327654947066046,7,23,21
157,449,Saint Francis,1.6107649595261222,6,23,18
65,450,Delaware St.,1.5341411623963999,6,22,18
63,451,Southern Ind.,1.4631811428190187,5,23,15
323,452,Air Force,1.3815643308674135,3,28,9
31,453,Biblical Stud. (TX),1.3645766358628677,0,8,0
56,454,Binghamton,1.2295610636407313,7,22,21
55,455,Rider,1.1468318660969115,3,24,9
252,456,VMI,1.1322503742386714,4,26,12
201,457,Gardner-Webb,0.9807383277124084,3,28,9
202,458,Western Ill.,0.9126726969024849,3,25,9
230,459,ULM,0.8824870132954035,3,27,9
208,460,Virginia-Lynchburg,0.8189577054907838,0,10,0
244,461,Kansas City,0.5233591889490544,1,27,3
248,462,Mississippi Val.,0.5019895903729811,2,29,6
